ax,ay,az,gx,gy,gz,mx,my,mz
0.234644,-0.186757,-8.839843,0.001321,0.000423,-0.000236,-32.154877,-6.113526,35.247368
0.234644,-0.186757,-8.839843,0.001321,0.000423,-0.000236,-32.154877,-6.113526,35.247368
0.229855,-0.186757,-8.844632,0.000522,0.000557,-0.000103,-32.154877,-6.113526,35.247368
0.229855,-0.186757,-8.844632,0.000522,0.000557,-0.000103,-32.154877,-6.113526,35.247368
0.234644,-0.201123,-8.835054,-0.000011,0.000157,-0.000103,-32.154877,-6.113526,35.247368
0.234644,-0.201123,-8.835054,-0.000011,0.000157,-0.000103,-32.154877,-6.113526,35.247368
0.225066,-0.181969,-8.825478,0.000256,-0.000509,0.000430,-32.154877,-6.113526,35.247368
0.229855,-0.191546,-8.844632,-0.000277,-0.000242,-0.000768,-30.189857,-7.012574,34.729023
0.229855,-0.191546,-8.844632,-0.000277,-0.000242,-0.000768,-30.189857,-7.012574,34.729023
0.229855,-0.196335,-8.849421,0.001055,0.000157,-0.000236,-30.189857,-7.012574,34.729023
0.229855,-0.196335,-8.849421,0.001055,0.000157,-0.000236,-30.189857,-7.012574,34.729023
0.234644,-0.191546,-8.849421,-0.000144,0.001089,-0.000103,-30.189857,-7.012574,34.729023
0.234644,-0.191546,-8.849421,-0.000144,0.001089,-0.000103,-30.189857,-7.012574,34.729023
0.239432,-0.196335,-8.830266,0.000123,0.000557,0.000563,-30.189857,-7.012574,34.729023
0.239432,-0.196335,-8.830266,0.000123,0.000557,0.000563,-30.189857,-7.012574,34.729023
0.249010,-0.196335,-8.868575,0.000788,0.001356,0.000430,-30.189857,-7.012574,34.729023
0.249010,-0.196335,-8.868575,0.000788,0.001356,0.000430,-30.189857,-7.012574,34.729023
0.239432,-0.186757,-8.849421,-0.000144,0.000024,0.000830,-30.189857,-7.012574,34.729023
0.239432,-0.186757,-8.849421,-0.000144,0.000024,0.000830,-30.189857,-7.012574,34.729023
0.225066,-0.186757,-8.835054,0.000788,0.000290,-0.000369,-30.904409,-7.372194,34.037899
0.229855,-0.205912,-8.835054,0.000389,0.000423,-0.000369,-30.904409,-7.372194,34.037899
0.229855,-0.205912,-8.835054,0.000389,0.000423,-0.000369,-30.904409,-7.372194,34.037899
0.229855,-0.177180,-8.820688,0.000123,-0.000109,0.000164,-30.904409,-7.372194,34.037899
0.229855,-0.177180,-8.820688,0.000123,-0.000109,0.000164,-30.904409,-7.372194,34.037899
0.239432,-0.201123,-8.844632,0.000256,-0.000242,0.000963,-30.904409,-7.372194,34.037899
0.239432,-0.201123,-8.844632,0.000256,-0.000242,0.000963,-30.904409,-7.372194,34.037899
0.239432,-0.201123,-8.825478,0.000655,-0.000242,0.001362,-30.904409,-7.372194,34.037899
0.239432,-0.201123,-8.825478,0.000655,-0.000242,0.001362,-30.904409,-7.372194,34.037899
0.239432,-0.191546,-8.825478,-0.000410,0.000024,0.000430,-30.904409,-7.372194,34.037899
0.239432,-0.191546,-8.825478,-0.000410,0.000024,0.000430,-30.904409,-7.372194,34.037899
0.234644,-0.186757,-8.830266,0.000123,-0.000242,0.000563,-30.904409,-7.372194,34.037899
0.210700,-0.177180,-8.820688,-0.000277,0.000423,0.000031,-31.261686,-8.091432,35.765713
0.210700,-0.177180,-8.820688,-0.000277,0.000423,0.000031,-31.261686,-8.091432,35.765713
0.234644,-0.191546,-8.815900,0.000256,0.000690,0.000031,-31.261686,-8.091432,35.765713
0.234644,-0.191546,-8.815900,0.000256,0.000690,0.000031,-31.261686,-8.091432,35.765713
0.229855,-0.186757,-8.820688,-0.000011,-0.000376,0.000164,-31.261686,-8.091432,35.765713
0.229855,-0.186757,-8.820688,-0.000011,-0.000376,0.000164,-31.261686,-8.091432,35.765713
0.234644,-0.205912,-8.825478,-0.000011,0.000956,0.000297,-31.261686,-8.091432,35.765713
0.234644,-0.205912,-8.825478,-0.000011,0.000956,0.000297,-31.261686,-8.091432,35.765713
0.253798,-0.186757,-8.839843,0.000256,0.000423,0.000031,-31.261686,-8.091432,35.765713
0.253798,-0.186757,-8.839843,0.000256,0.000423,0.000031,-31.261686,-8.091432,35.765713
0.234644,-0.181969,-8.820688,0.000788,0.000024,0.000031,-31.261686,-8.091432,35.765713
0.234644,-0.181969,-8.820688,0.000788,0.000024,0.000031,-31.261686,-8.091432,35.765713
0.234644,-0.196335,-8.844632,-0.000144,0.000157,0.000563,-30.368494,-7.192384,34.901806
0.234644,-0.186757,-8.839843,-0.000144,0.000157,-0.000768,-30.368494,-7.192384,34.901806
0.234644,-0.186757,-8.839843,-0.000144,0.000157,-0.000768,-30.368494,-7.192384,34.901806
0.234644,-0.186757,-8.815900,-0.000144,0.000290,-0.000369,-30.368494,-7.192384,34.901806
0.234644,-0.186757,-8.815900,-0.000144,0.000290,-0.000369,-30.368494,-7.192384,34.901806
0.234644,-0.191546,-8.839843,-0.001875,0.000557,-0.000369,-30.368494,-7.192384,34.901806
0.234644,-0.191546,-8.839843,-0.001875,0.000557,-0.000369,-30.368494,-7.192384,34.901806
